iter	PrecisionAt:top=5	Logloss
366	0.4419642857	0.2889999128
367	0.44375	0.2888794904
368	0.4464285714	0.2887731032
369	0.4464285714	0.2887122522
370	0.4508928571	0.2885887594
371	0.4508928571	0.2885064836
372	0.4508928571	0.2884940151
373	0.4535714286	0.2884131713
374	0.4517857143	0.2883068266
375	0.4517857143	0.2882339387
376	0.4517857143	0.2881437494
377	0.4526785714	0.2880803516
378	0.4535714286	0.287966833
379	0.4535714286	0.2878810675
380	0.4535714286	0.2878031759
381	0.4544642857	0.2877154535
382	0.4571428571	0.2876226477
383	0.4571428571	0.2875189149
384	0.4589285714	0.2874281237
385	0.4598214286	0.2873423806
386	0.4607142857	0.2872855791
387	0.4598214286	0.2872374448
388	0.4589285714	0.2871687571
389	0.4598214286	0.2871162489
390	0.4607142857	0.2870634301
391	0.4598214286	0.286955954
392	0.4598214286	0.2869465251
393	0.4598214286	0.2868972018
394	0.4607142857	0.2868420079
395	0.4598214286	0.2867695522
396	0.4589285714	0.2866891093
397	0.4598214286	0.2866332133
398	0.4642857143	0.2864573958
399	0.4642857143	0.2863989317
400	0.4633928571	0.2863520765
401	0.4642857143	0.286274056
402	0.4651785714	0.2862224713
403	0.4651785714	0.2861515828
404	0.4651785714	0.2860672063
405	0.4660714286	0.2859905557
406	0.4660714286	0.2859131853
407	0.4660714286	0.2858439653
408	0.4678571429	0.2857611803
409	0.4678571429	0.2857248701
410	0.4678571429	0.2856708619
411	0.4660714286	0.285592484
412	0.4669642857	0.2855529117
413	0.4660714286	0.2854905007
414	0.4660714286	0.2854206578
415	0.46875	0.2853226019
416	0.4696428571	0.2852343464
417	0.4678571429	0.285114824
418	0.4651785714	0.2849980628
419	0.4642857143	0.284950587
420	0.4660714286	0.2848356829
421	0.4678571429	0.2847262792
422	0.46875	0.2846545509
423	0.46875	0.2846044183
424	0.4678571429	0.2845278721
425	0.4678571429	0.2844553477
426	0.46875	0.2843464084
427	0.4714285714	0.2842687351
428	0.4714285714	0.2842239351
429	0.4705357143	0.2841453898
430	0.4705357143	0.2840544201
431	0.4714285714	0.283989244
432	0.4714285714	0.2839805628
433	0.4705357143	0.2839044492
434	0.4714285714	0.2838596416
435	0.4723214286	0.2837372741
436	0.4732142857	0.2837217303
437	0.4732142857	0.2836426796
438	0.4732142857	0.2835679794
439	0.4732142857	0.2835254965
440	0.475	0.2834315115
441	0.475	0.2833109337
442	0.475	0.2832451689
443	0.475	0.2831874061
444	0.475	0.2831157649
445	0.4758928571	0.2830357915
446	0.4767857143	0.2829882553
447	0.4767857143	0.2829176997
448	0.4785714286	0.2828277216
449	0.4785714286	0.2828024897
450	0.4794642857	0.2827514447
451	0.4803571429	0.2826943162
452	0.4803571429	0.2826593131
453	0.4794642857	0.2825929928
454	0.4803571429	0.2825592409
455	0.4794642857	0.282483347
456	0.4794642857	0.28244861
457	0.4821428571	0.28236526
458	0.4821428571	0.282257496
459	0.4830357143	0.2822003527
460	0.4821428571	0.2821169418
461	0.4821428571	0.2820359461
462	0.4821428571	0.2819819174
463	0.4821428571	0.281957876
464	0.4830357143	0.2818840882
465	0.4830357143	0.2818534676
466	0.4839285714	0.2817998946
467	0.4830357143	0.2817046274
468	0.4821428571	0.2815984249
469	0.4857142857	0.2815331906
470	0.4857142857	0.2815076157
471	0.4883928571	0.2813967805
472	0.4892857143	0.2813343034
473	0.4883928571	0.2812596981
474	0.4910714286	0.2812088418
475	0.4928571429	0.2811385852
476	0.4946428571	0.2810508091
477	0.4964285714	0.2809797876
478	0.4946428571	0.2809238639
479	0.4982142857	0.2808129474
480	0.5	0.2807170095
481	0.5017857143	0.2806452132
482	0.5017857143	0.2805773104
483	0.5017857143	0.2805460172
484	0.5008928571	0.2804925348
485	0.5	0.2804666443
486	0.5035714286	0.2803754844
487	0.5026785714	0.2803196592
488	0.5053571429	0.2802510061
489	0.50625	0.280136155
490	0.50625	0.2800879404
491	0.50625	0.2800275083
492	0.50625	0.2799693137
493	0.5071428571	0.2798998588
494	0.5089285714	0.2798403489
495	0.5089285714	0.2797708233
496	0.5089285714	0.2796755803
497	0.5089285714	0.2796083906
498	0.5089285714	0.2794890264
499	0.5089285714	0.2794456489
500	0.5089285714	0.2794097383
501	0.5089285714	0.2793909336
502	0.5089285714	0.2793223247
503	0.5089285714	0.2792620623
504	0.5098214286	0.2792074789
505	0.5098214286	0.2791173287
506	0.5125	0.2790111095
507	0.50625	0.2789082098
508	0.5071428571	0.2788286429
509	0.5107142857	0.2787527759
510	0.5107142857	0.278702403
511	0.5133928571	0.2785861423
512	0.5142857143	0.2784987589
513	0.5142857143	0.2784768636
514	0.5142857143	0.2784337852
515	0.5133928571	0.2783355003
516	0.5133928571	0.2782808351
517	0.5133928571	0.2781633031
518	0.5142857143	0.2781251225
519	0.5151785714	0.2780621496
520	0.5169642857	0.2779732975
521	0.5160714286	0.2778679218
522	0.5169642857	0.2778049627
523	0.5169642857	0.2777331326
524	0.5160714286	0.2776869478
525	0.5160714286	0.2776605957
526	0.5151785714	0.2776126786
527	0.5169642857	0.2775295541
528	0.5160714286	0.2774658434
529	0.5169642857	0.2774157351
530	0.5169642857	0.2773839292
531	0.5151785714	0.277299322
532	0.5142857143	0.277231293
533	0.5169642857	0.2771345949
534	0.51875	0.2770664045
535	0.51875	0.2769889155
536	0.51875	0.2769235284
537	0.5196428571	0.2768545464
538	0.5196428571	0.2767868886
539	0.5196428571	0.276727015
540	0.5205357143	0.2766777972
541	0.5232142857	0.2765743131
542	0.5232142857	0.2765289005
543	0.5214285714	0.2764278193
544	0.5223214286	0.2763741728
545	0.5223214286	0.2763144877
546	0.5223214286	0.2762836775
547	0.5223214286	0.2762653618
548	0.5223214286	0.2762264875
549	0.5232142857	0.2761106737
550	0.5232142857	0.2760152038
551	0.5241071429	0.275936064
552	0.5241071429	0.275841468
553	0.5232142857	0.2757741901
554	0.5258928571	0.2756870546
555	0.5276785714	0.2756190459
556	0.5258928571	0.275559254
557	0.5258928571	0.2755214711
558	0.5267857143	0.2754627171
559	0.5267857143	0.2754272442
560	0.5267857143	0.2754123997
561	0.5276785714	0.2753521503
562	0.5294642857	0.2752863548
563	0.5294642857	0.2752521476
564	0.5294642857	0.2752150205
565	0.5294642857	0.2751098458
566	0.5285714286	0.2750520328
567	0.5285714286	0.2750069706
568	0.5276785714	0.2749177311
569	0.5276785714	0.2748614401
570	0.5276785714	0.2747996892
571	0.5276785714	0.2747830658
572	0.5285714286	0.2747258771
573	0.5285714286	0.2747074409
574	0.5285714286	0.2746467562
575	0.5294642857	0.2745628717
576	0.5303571429	0.2744837308
577	0.53125	0.2744658027
578	0.5321428571	0.2744147982
579	0.53125	0.2743476969
580	0.5330357143	0.2742463041
581	0.5339285714	0.2741869963
582	0.5339285714	0.2741710704
583	0.5339285714	0.2741137853
584	0.5339285714	0.2740620553
585	0.5339285714	0.2739903567
586	0.5357142857	0.2739065322
587	0.5357142857	0.2738161236
588	0.5357142857	0.2738067845
589	0.5366071429	0.2737446522
590	0.5357142857	0.2736992189
591	0.5366071429	0.2736310861
592	0.5375	0.2736005107
593	0.5375	0.273486745
594	0.5375	0.2734702555
595	0.5375	0.2733749382
596	0.5401785714	0.273302395
597	0.5401785714	0.2732547576
598	0.5401785714	0.2731340624
599	0.5410714286	0.2730768459
600	0.5410714286	0.2730494975
601	0.5410714286	0.2729474443
602	0.5410714286	0.2729404783
603	0.5410714286	0.2728881824
604	0.5401785714	0.2728535491
605	0.5410714286	0.2727981311
606	0.5410714286	0.2727672051
607	0.5410714286	0.272727587
608	0.5419642857	0.2726716851
609	0.54375	0.2725991831
610	0.5455357143	0.2725563022
611	0.5464285714	0.2724770346
612	0.5455357143	0.2724044882
613	0.5446428571	0.2723602894
614	0.5446428571	0.2723304226
615	0.5464285714	0.2722356223
616	0.5464285714	0.2721860102
617	0.5455357143	0.2721145734
618	0.5464285714	0.2720564909
619	0.5464285714	0.2720021855
620	0.5482142857	0.2719208623
621	0.5473214286	0.2718048599
622	0.5482142857	0.2717532546
623	0.5482142857	0.2716966907
624	0.5482142857	0.2716320344
625	0.5482142857	0.2715941929
626	0.5482142857	0.2715267202
627	0.5491071429	0.2714960369
628	0.55	0.271432777
629	0.5517857143	0.271333716
630	0.5526785714	0.2712336242
631	0.5535714286	0.2712018866
632	0.5553571429	0.2711395809
633	0.5544642857	0.2710232227
634	0.5553571429	0.2709798609
635	0.5544642857	0.2709330667
636	0.5544642857	0.2708996977
637	0.5553571429	0.2708750815
638	0.55625	0.2708220144
639	0.55625	0.2707888389
640	0.5580357143	0.2707286309
641	0.5571428571	0.2706532113
642	0.5589285714	0.2705926453
643	0.5589285714	0.2705429436
644	0.5580357143	0.2704914973
645	0.55625	0.2703764911
646	0.5571428571	0.2703292758
647	0.5571428571	0.2703109439
648	0.5571428571	0.270298447
649	0.5571428571	0.2702553187
650	0.5580357143	0.2702026354
651	0.5589285714	0.2701637733
652	0.5580357143	0.2701051891
653	0.5580357143	0.2700611954
654	0.55625	0.2699427319
655	0.5607142857	0.2698253536
656	0.5607142857	0.2697891005
657	0.5616071429	0.2697256458
658	0.5616071429	0.2697178049
659	0.5616071429	0.2696698296
660	0.5616071429	0.2696370835
661	0.5616071429	0.2695878049
662	0.5633928571	0.2694940423
663	0.5642857143	0.2694757491
664	0.5651785714	0.2693882584
665	0.5642857143	0.2693108229
666	0.5642857143	0.2692663167
667	0.5642857143	0.2692344473
668	0.5642857143	0.2691611936
669	0.5651785714	0.2691101661
670	0.5651785714	0.2690884557
671	0.5633928571	0.269064105
672	0.5642857143	0.2690528933
673	0.5642857143	0.2690366326
674	0.5651785714	0.2689201573
675	0.5660714286	0.2688692194
676	0.5660714286	0.2687979376
677	0.5696428571	0.2687560949
678	0.5696428571	0.2686729819
679	0.5723214286	0.2685859199
680	0.5723214286	0.2685014367
681	0.5723214286	0.2684096264
682	0.5714285714	0.2683409393
683	0.5696428571	0.268239221
684	0.5696428571	0.2681701394
685	0.5696428571	0.2681535661
686	0.5705357143	0.2680729263
687	0.5705357143	0.2680584704
688	0.5705357143	0.2680523353
689	0.5705357143	0.2680334048
690	0.5705357143	0.2679872565
691	0.5723214286	0.2679129236
692	0.5723214286	0.2678813521
693	0.5723214286	0.2678649402
694	0.5741071429	0.2677982578
695	0.5741071429	0.2677716544
696	0.5741071429	0.2677116955
697	0.5741071429	0.2676476431
698	0.5741071429	0.2676147747
699	0.575	0.2675802259
700	0.5758928571	0.2675145057
701	0.5758928571	0.2674210444
702	0.5767857143	0.267378558
703	0.575	0.2673186662
704	0.5776785714	0.2672403371
705	0.5776785714	0.2672165279
706	0.5767857143	0.2671339522
707	0.5776785714	0.2670885612
